symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
MMM,156.26,158.54,160.22,155.17,3987124,-0.86,2020-04-29,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-29 - 2020-05-05,5,-0.6874687068415017,-0.6874687068415017
MMM,151.92,154.31,154.94,151.75,3667848,-2.78,2020-04-30,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-29 - 2020-05-05,5,-0.716107442185266,-0.716107442185266
MMM,148.6,149.3,150.04,147.73,2926714,-2.19,2020-05-01,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-29 - 2020-05-05,5,-0.7825864148617759,-0.7825864148617759
MMM,148.4,148.54,148.56,146.06,2229849,-0.13,2020-05-04,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-29 - 2020-05-05,5,-0.8450945028650467,-0.8450945028650467
MMM,147.43,149.89,150.0,147.1,2269160,-0.65,2020-05-05,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-04-29 - 2020-05-05,5,-0.8415683457937394,-0.8415683457937394
MMM,146.2,147.79,148.17,145.99,2168564,-0.83,2020-05-06,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-06 - 2020-05-12,6,-0.8505917055847707,-0.8505917055847707
MMM,145.74,147.7,147.85,144.9,2801164,-0.31,2020-05-07,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-06 - 2020-05-12,6,-0.7938481232971409,-0.7938481232971409
MMM,148.51,147.08,149.18,146.38,2170027,1.9,2020-05-08,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-06 - 2020-05-12,6,-0.8504604759595941,-0.8504604759595941
MMM,145.73,147.82,147.96,145.59,3034572,-1.87,2020-05-11,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-06 - 2020-05-12,6,-0.7729116609914327,-0.7729116609914327
MMM,141.52,146.55,147.22,141.45,3029968,-2.89,2020-05-12,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-06 - 2020-05-12,6,-0.7733246351502253,-0.7733246351502253
MMM,136.12,140.71,140.73,135.0,4806049,-3.82,2020-05-13,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-13 - 2020-05-19,7,-0.6140119598846614,-0.6140119598846614
MMM,135.99,135.0,136.15,131.12,5897704,-0.1,2020-05-14,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-13 - 2020-05-19,7,-0.5160916068618943,-0.5160916068618943
MMM,138.69,134.53,138.87,134.2,10113654,1.99,2020-05-15,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-13 - 2020-05-19,7,-0.1379251418831831,-0.1379251418831831
MMM,149.27,143.16,149.72,142.51,6018514,7.63,2020-05-18,3M Co.,Management of Companies and Enterprises,1,0,0,0,0,0,0,0,2020-05-13 - 2020-05-19,7,-0.5052550716482228,-0.5052550716482228
